Mod:Item:MetaData, Localized Name
minecraft:purpur_pillar, Pilar de púrpura
minecraft:purpur_stairs, Escadas de púrpura
minecraft:purpur_slab:0, Laje de púrpura
minecraft:end_bricks, Tijolos de pedra do End
minecraft:grass_path, Caminho de grama
minecraft:repeating_command_block, Bloco de comando em repetição
minecraft:chain_command_block, Bloco de comando em cadeia
minecraft:magma, Bloco de magma
minecraft:nether_wart_block, Bloco de fungo do Nether
minecraft:red_nether_brick, Tijolos vermelhos do Nether
minecraft:bone_block, Bloco de ossos
minecraft:structure_void, Vazio da estrutura
minecraft:observer, Observador
minecraft:white_shulker_box, Caixa de shulker branca
minecraft:orange_shulker_box, Caixa de shulker laranja
minecraft:magenta_shulker_box, Caixa de shulker magenta
minecraft:light_blue_shulker_box, Caixa de shulker azul-clara
minecraft:yellow_shulker_box, Caixa de shulker amarela
minecraft:lime_shulker_box, Caixa de shulker verde-limão
minecraft:pink_shulker_box, Caixa de shulker rosa
minecraft:gray_shulker_box, Caixa de shulker cinza
minecraft:silver_shulker_box, Caixa de shulker cinza-clara
minecraft:cyan_shulker_box, Caixa de shulker ciano
minecraft:purple_shulker_box, Caixa de shulker lilás
minecraft:blue_shulker_box, Caixa de shulker azul
minecraft:brown_shulker_box, Caixa de shulker marrom
minecraft:green_shulker_box, Caixa de shulker verde
minecraft:red_shulker_box, Caixa de shulker vermelha
minecraft:black_shulker_box, Caixa de shulker preta
minecraft:white_glazed_terracotta, Terracota envidraçada branca
minecraft:orange_glazed_terracotta, Terracota envidraçada laranja
minecraft:magenta_glazed_terracotta, Terracota envidraçada magenta
minecraft:light_blue_glazed_terracotta, Terracota envidraçada azul-clara
minecraft:yellow_glazed_terracotta, Terracota envidraçada amarela
minecraft:lime_glazed_terracotta, Terracota envidraçada verde-limão
minecraft:pink_glazed_terracotta, Terracota envidraçada rosa
minecraft:gray_glazed_terracotta, Terracota envidraçada cinza
minecraft:silver_glazed_terracotta, Terracota envidraçada cinza-clara
minecraft:cyan_glazed_terracotta, Terracota envidraçada ciano
minecraft:purple_glazed_terracotta, Terracota envidraçada lilás
minecraft:blue_glazed_terracotta, Terracota envidraçada azul
minecraft:brown_glazed_terracotta, Terracota envidraçada marrom
minecraft:green_glazed_terracotta, Terracota envidraçada verde
minecraft:red_glazed_terracotta, Terracota envidraçada vermelha
minecraft:black_glazed_terracotta, Terracota envidraçada preta
minecraft:concrete:0, Concreto branco
minecraft:concrete:1, Concreto laranja
minecraft:concrete:2, Concreto magenta
minecraft:concrete:3, Concreto azul-claro
minecraft:concrete:4, Concreto amarelo
minecraft:concrete:5, Concreto verde-limão
minecraft:concrete:6, Concreto rosa
minecraft:concrete:7, Concreto cinza
minecraft:concrete:8, Concreto cinza-claro
minecraft:concrete:9, Concreto ciano
minecraft:concrete:10, Concreto lilás
minecraft:concrete:11, Concreto azul
minecraft:concrete:12, Concreto marrom
minecraft:concrete:13, Concreto verde
minecraft:concrete:14, Concreto vermelho
minecraft:concrete:15, Concreto preto
minecraft:concrete_powder:0, Pó de concreto branco
minecraft:concrete_powder:1, Pó de concreto laranja
minecraft:concrete_powder:2, Pó de concreto magenta
minecraft:concrete_powder:3, Pó de concreto azul-claro
minecraft:concrete_powder:4, Pó de concreto amarelo
minecraft:concrete_powder:5, Pó de concreto verde-limão
minecraft:concrete_powder:6, Pó de concreto rosa
minecraft:concrete_powder:7, Pó de concreto cinza
minecraft:concrete_powder:8, Pó de concreto cinza-claro
minecraft:concrete_powder:9, Pó de concreto ciano
minecraft:concrete_powder:10, Pó de concreto lilás
minecraft:concrete_powder:11, Pó de concreto azul
minecraft:concrete_powder:12, Pó de concreto marrom
minecraft:concrete_powder:13, Pó de concreto verde
minecraft:concrete_powder:14, Pó de concreto vermelho
minecraft:concrete_powder:15, Pó de concreto preto
minecraft:structure_block, Bloco de estrutura
minecraft:iron_shovel, Pá de ferro
minecraft:iron_pickaxe, Picareta de ferro
minecraft:iron_axe, Machado de ferro
minecraft:flint_and_steel, Pederneira
minecraft:apple, Apple
minecraft:bow, Arco
minecraft:arrow, Flecha
minecraft:coal:0, Carvão
minecraft:coal:1, Carvão vegetal
minecraft:diamond, Diamante
minecraft:iron_ingot, Barra de ferro
minecraft:gold_ingot, Barra de ouro
minecraft:iron_sword, Espada de ferro
minecraft:wooden_sword, Espada de madeira
minecraft:wooden_shovel, Pá de madeira
minecraft:wooden_pickaxe, Picareta de madeira
minecraft:wooden_axe, Machado de madeira
minecraft:stone_sword, Espada de pedra
minecraft:stone_shovel, Pá de pedra
minecraft:stone_pickaxe, Picareta de pedra
minecraft:stone_axe, Machado de pedra
minecraft:diamond_sword, Espada de diamante
minecraft:diamond_shovel, Pá de diamante
minecraft:diamond_pickaxe, Picareta de diamante
minecraft:diamond_axe, Machado de diamante
minecraft:stick, Graveto
minecraft:bowl, Tigela
minecraft:mushroom_stew, Mushroom Stew
minecraft:golden_sword, Espada de ouro
minecraft:golden_shovel, Pá de ouro
minecraft:golden_pickaxe, Picareta de ouro
minecraft:golden_axe, Machado de ouro
minecraft:string, Linha
minecraft:feather, Pena
minecraft:gunpowder, Pólvora
minecraft:wooden_hoe, Enxada de madeira
minecraft:stone_hoe, Enxada de pedra
minecraft:iron_hoe, Enxada de ferro
minecraft:diamond_hoe, Enxada de diamante
minecraft:golden_hoe, Enxada de ouro
minecraft:wheat_seeds, Sementes
minecraft:wheat, Wheat
minecraft:bread, Bread
minecraft:leather_helmet, Capuz de couro
minecraft:leather_chestplate, Túnica de couro
minecraft:leather_leggings, Calças de couro
minecraft:leather_boots, Botas de couro
minecraft:chainmail_helmet, Capacete de cota de malha
minecraft:chainmail_chestplate, Peitoral de cota de malha
minecraft:chainmail_leggings, Calças de cota de malha
minecraft:chainmail_boots, Botas de cota de malha
minecraft:iron_helmet, Capacete de ferro
minecraft:iron_chestplate, Peitoral de ferro
minecraft:iron_leggings, Calças de ferro
minecraft:iron_boots, Botas de ferro
minecraft:diamond_helmet, Capacete de diamante
minecraft:diamond_chestplate, Peitoral de diamante
minecraft:diamond_leggings, Calças de diamante
minecraft:diamond_boots, Botas de diamante
minecraft:golden_helmet, Capacete de ouro
minecraft:golden_chestplate, Peitoral de ouro
minecraft:golden_leggings, Calças de ouro
minecraft:golden_boots, Botas de ouro
minecraft:flint, Sílex
minecraft:porkchop, Raw Porkchop
minecraft:cooked_porkchop, Cooked Porkchop
minecraft:painting, Pintura
minecraft:golden_apple:0, Maçã dourada
minecraft:golden_apple:1, Maçã dourada
minecraft:sign, Placa
minecraft:wooden_door, Porta de carvalho
minecraft:bucket, Balde
minecraft:water_bucket, Balde de água
minecraft:lava_bucket, Balde de lava
minecraft:minecart, Carrinho
minecraft:saddle, Sela
minecraft:iron_door, Porta de ferro
minecraft:redstone, Redstone
minecraft:snowball, Bola de neve
minecraft:boat, Barco de carvalho
minecraft:leather, Couro
minecraft:milk_bucket, Leite
minecraft:brick, Tijolo
minecraft:clay_ball, Bola de argila
minecraft:reeds, Canas-de-açúcar
minecraft:paper, Papel
minecraft:book, Livro
minecraft:slime_ball, Bola de slime
minecraft:chest_minecart, Carrinho com baú
minecraft:furnace_minecart, Carrinho com fornalha
minecraft:egg, Ovo
minecraft:compass, Bússola
minecraft:fishing_rod, Vara de Pesca de Madeira
minecraft:clock, Relógio
minecraft:glowstone_dust, Pó de pedra luminosa
minecraft:fish:0, Bacalhau cru
minecraft:fish:1, Salmão cru
minecraft:fish:2, Peixe-palhaço
minecraft:fish:3, Baiacu
minecraft:cooked_fish:0, Bacalhau assado
minecraft:cooked_fish:1, Salmão assado
minecraft:dye:0, Bolsa de tinta
minecraft:dye:1, Vermelho da rosa
minecraft:dye:2, Verde do cacto
minecraft:dye:3, Sementes de cacau
minecraft:dye:4, Lápis-lazúli
minecraft:dye:5, Corante lilás
minecraft:dye:6, Corante ciano
minecraft:dye:7, Corante cinza-claro
minecraft:dye:8, Corante cinza
minecraft:dye:9, Corante rosa
minecraft:dye:10, Corante verde-limão
minecraft:dye:11, Amarelo do dente-de-leão
minecraft:dye:12, Corante azul-claro
minecraft:dye:13, Corante magenta
minecraft:dye:14, Corante laranja
minecraft:dye:15, Farinha de osso
minecraft:bone, Osso
minecraft:sugar, Açúcar
minecraft:cake, Bolo
minecraft:bed:0, Cama branca
minecraft:bed:1, Cama laranja
minecraft:bed:2, Cama magenta
minecraft:bed:3, Cama azul-clara
minecraft:bed:4, Cama amarela
minecraft:bed:5, Cama verde-limão
minecraft:bed:6, Cama rosa
minecraft:bed:7, Cama cinza
minecraft:bed:8, Cama cinza-clara
minecraft:bed:9, Cama ciano
minecraft:bed:10, Cama lilás
minecraft:bed:11, Cama azul
minecraft:bed:12, Cama marrom
minecraft:bed:13, Cama verde
minecraft:bed:14, Cama vermelha
minecraft:bed:15, Cama preta
minecraft:repeater, Repetidor de redstone
minecraft:cookie, Cookie
minecraft:filled_map:0, Mapa
minecraft:shears, Tesoura
minecraft:melon, Melon Slice
minecraft:pumpkin_seeds, Sementes de abóbora
minecraft:melon_seeds, Sementes de melancia
minecraft:beef, Raw Beef
minecraft:cooked_beef, Steak
minecraft:chicken, Raw Chicken
minecraft:cooked_chicken, Cooked Chicken
minecraft:rotten_flesh, Carne podre
minecraft:ender_pearl, Pérola do End
minecraft:blaze_rod, Vara de blaze
minecraft:ghast_tear, Lágrima de ghast
minecraft:gold_nugget, Pepita de ouro
minecraft:nether_wart, Fungo do Nether
minecraft:potion, Poção
minecraft:glass_bottle, Frasco de vidro
minecraft:spider_eye, Olho de aranha
minecraft:fermented_spider_eye, Olho de aranha fermentado
minecraft:blaze_powder, Pó de blaze
minecraft:magma_cream, Creme de magma
minecraft:brewing_stand, Suporte de poções
minecraft:cauldron, Caldeirão
minecraft:ender_eye, Olho do End
minecraft:speckled_melon, Melancia reluzente
minecraft:spawn_egg, Gerar
minecraft:experience_bottle, Frasco de experiência
minecraft:fire_charge, Bola de fogo
minecraft:writable_book, Livro e pena
minecraft:written_book, Livro escrito
minecraft:emerald, Esmeralda
minecraft:item_frame, Moldura
minecraft:flower_pot, Vaso de flor
minecraft:carrot, Carrot
minecraft:potato, Potato
minecraft:baked_potato, Baked Potato
minecraft:poisonous_potato, Batata venenosa
minecraft:map, Mapa em branco
minecraft:golden_carrot, Cenoura dourada
minecraft:skull:0, Crânio de esqueleto
minecraft:skull:1, Crânio de esqueleto Wither
minecraft:skull:2, Cabeça de zumbi
minecraft:skull:3, Cabeça
minecraft:skull:4, Cabeça de creeper
minecraft:skull:5, Cabeça de dragão
minecraft:carrot_on_a_stick, Cenoura em uma vara
minecraft:nether_star, Estrela do Nether
minecraft:pumpkin_pie, Pumpkin Pie
minecraft:fireworks, Fogos de artifício
minecraft:firework_charge, Estrela de fogos de artifício
minecraft:enchanted_book, Livro encantado
minecraft:comparator, Comparador de redstone
minecraft:netherbrick, Tijolo do Nether
minecraft:quartz, Quartzo do Nether
minecraft:tnt_minecart, Carrinho com dinamite
minecraft:hopper_minecart, Carrinho com funil
minecraft:prismarine_shard, Fragmento de prismarinho
minecraft:prismarine_crystals, Cristais de prismarinho
minecraft:rabbit, Raw Rabbit
minecraft:cooked_rabbit, Cooked Rabbit
minecraft:rabbit_stew, Rabbit Stew
minecraft:rabbit_foot, Pé de coelho
minecraft:rabbit_hide, Pele de coelho
minecraft:armor_stand, Suporte de armaduras
minecraft:iron_horse_armor, Armadura de ferro para cavalo
minecraft:golden_horse_armor, Armadura de ouro para cavalo
minecraft:diamond_horse_armor, Armadura de diamante para cavalo
minecraft:lead, Laço
minecraft:name_tag, Etiqueta
minecraft:command_block_minecart, Carrinho com bloco de comando
minecraft:mutton, Raw Mutton
minecraft:cooked_mutton, Cooked Mutton
minecraft:banner:15, Estandarte branco
minecraft:banner:14, Estandarte laranja
minecraft:banner:13, Estandarte magenta
minecraft:banner:12, Estandarte azul-claro
minecraft:banner:11, Estandarte amarelo
minecraft:banner:10, Estandarte verde-limão
minecraft:banner:9, Estandarte rosa
minecraft:banner:8, Estandarte cinza
minecraft:banner:7, Estandarte cinza-claro
minecraft:banner:6, Estandarte ciano
minecraft:banner:5, Estandarte lilás
minecraft:banner:4, Estandarte azul
minecraft:banner:3, Estandarte marrom
minecraft:banner:2, Estandarte verde
minecraft:banner:1, Estandarte vermelho
minecraft:banner:0, Estandarte preto
minecraft:end_crystal, Cristal do End
minecraft:spruce_door, Porta de pinheiro
minecraft:birch_door, Porta de eucalipto
minecraft:jungle_door, Porta de madeira da selva
minecraft:acacia_door, Porta de acácia
minecraft:dark_oak_door, Porta de carvalho escuro
minecraft:chorus_fruit, Fruta do coro
minecraft:chorus_fruit_popped, Fruta do coro estourada
minecraft:beetroot, Beetroot
minecraft:beetroot_seeds, Sementes de beterraba
minecraft:beetroot_soup, Beetroot Soup
minecraft:dragon_breath, Bafo de dragão
minecraft:splash_potion, Poção arremessável
minecraft:spectral_arrow, Flecha espectral
minecraft:tipped_arrow, Flecha com efeito
minecraft:lingering_potion, Poção prolongada
minecraft:shield, Escudo
minecraft:elytra, Élitro
minecraft:spruce_boat, Barco de pinheiro
minecraft:birch_boat, Barco de eucalipto
minecraft:jungle_boat, Barco de madeira da selva
minecraft:acacia_boat, Barco de acácia
minecraft:dark_oak_boat, Barco de carvalho escuro
minecraft:totem_of_undying, Totem da imortalidade
minecraft:shulker_shell, Casca de shulker
minecraft:iron_nugget, Pepita de ferro
minecraft:knowledge_book, Livro do conhecimento
minecraft:record_13, Disco de música
minecraft:record_cat, Disco de música
minecraft:record_blocks, Disco de música
minecraft:record_chirp, Disco de música
minecraft:record_far, Disco de música
minecraft:record_mall, Disco de música
minecraft:record_mellohi, Disco de música
minecraft:record_stal, Disco de música
minecraft:record_strad, Disco de música
minecraft:record_ward, Disco de música
minecraft:record_11, Disco de música
minecraft:record_wait, Disco de música
aquaculture:fishing_rod, Vara de Pesca de Madeira
aquaculture:iron_fishing_rod, Vara de Pesca de Ferro
aquaculture:gold_fishing_rod, Vara de Pesca de Ouro
aquaculture:diamond_fishing_rod, Vara de Pesca de Diamante
aquaculture:admin_fishing_rod, Vara de Pesca do Admin
aquaculture:loot:0, Madeira Petrificada
aquaculture:loot:1, Lingote de Neptunium
aquaculture:loot:2, Lata de Estanho
aquaculture:loot:3, Mensagem na Garrafa
aquaculture:loot:4, Caixa
aquaculture:loot:5, Caixa com Fechadura
aquaculture:loot:6, Baú do Tesouro
aquaculture:loot:7, Dádiva de Neptuno
aquaculture:food:0, Algas Marinhas
aquaculture:food:1, Algas
aquaculture:food:2, Carne de Baleia Crua
aquaculture:food:3, Peixe Cru
aquaculture:food:4, Posta Frita de Peixe
aquaculture:food:5, Carne de Baleia Assada
aquaculture:food:6, Hamburguer de Baleia Assado
aquaculture:food:7, Pernas de Rã
aquaculture:food:8, Pernas de Rã Assada
aquaculture:food:9, Sopa de Tartaruga
aquaculture:food:10, Sushi
aquaculture:neptunium_pickaxe, Picareta de Neptunium
aquaculture:neptunium_shovel, Pá de Neptunium
aquaculture:neptunium_axe, Machado de Neptunium
